,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
0,6,1,0,2,2,1,3,4,4,3,2,3,1,3,2,4,3,4,5
1,2,2,0,2,1,1,3,4,4,1,4,3,3,2,3,4,3,5,2
2,5,1,0,1,1,1,4,5,3,4,2,2,3,4,3,3,2,3,3
3,4,2,0,2,1,1,4,3,4,3,5,4,2,2,2,5,4,4,4
4,3,2,0,2,1,1,5,4,3,5,2,3,1,4,3,4,3,4,3
5,13,2,siamese,2,2,1,4,4,3,3,5,3,1,2,3,5,5,3,1
6,3,1,Ragdoll,2,1,2,3,4,4,3,4,2,1,3,2,4,5,4,1
7,8,1,0,1,1,1,3,4,4,4,5,2,1,4,1,4,4,5,2
8,10,1,Ragdoll,1,2,1,3,4,4,5,5,2,1,4,4,5,5,5,3
9,1,2,0,1,2,2,3,5,4,3,4,2,1,5,2,5,4,4,1
10,3,1,0,2,1,1,3,3,4,4,2,4,3,2,4,5,4,4,4
11,7,2,0,1,1,2,3,3,3,3,5,2,1,2,3,5,5,4,3
12,2,1,0,1,1,1,3,4,5,3,0,0,1,0,0,0,0,0,0
13,3,2,0,2,1,1,4,4,3,2,2,2,1,4,2,3,4,4,2
14,13,2,0,2,1,1,3,5,5,3,2,1,2,5,1,5,2,5,1
15,10,1,0,2,2,2,2,5,2,5,2,2,5,3,4,5,5,4,3
16,1,1,0,2,1,1,3,5,5,5,4,1,1,5,1,5,5,5,2
17,8,2,0,2,2,2,3,4,4,3,2,4,1,3,1,5,4,4,3
18,5,2,0,2,1,1,3,5,4,3,5,3,1,4,2,5,5,5,1
19,19,1,0,1,2,1,3,5,4,5,5,1,1,4,2,5,4,4,2
20,1,1,0,1,1,1,3,5,5,5,4,1,1,4,2,4,5,5,1
21,17,1,Maine Coon,1,2,2,3,4,3,4,4,2,1,3,3,5,3,4,2
22,14,2,0,2,1,1,4,5,4,3,5,2,1,3,1,5,5,5,4
23,7,2,0,1,1,1,5,5,3,4,5,4,1,3,2,5,5,5,3
24,9,1,0,1,1,1,3,3,3,1,2,2,1,4,2,5,2,5,3
25,1,1,0,1,1,1,3,4,5,5,5,5,1,4,2,5,5,5,2
26,18,1,0,1,2,2,2,4,3,1,4,2,3,2,2,4,2,2,3
27,16,1,0,1,2,1,2,3,3,1,2,1,1,2,1,5,4,5,1
28,9,1,0,2,1,1,3,5,4,4,5,2,1,4,1,5,4,5,2
29,3,1,0,2,2,1,3,5,5,5,4,1,3,4,2,4,4,4,1
30,4,2,0,2,1,1,3,4,3,4,4,3,1,3,3,4,4,4,3
31,4,2,Maine coon cat,1,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1
32,9,2,0,2,2,1,4,4,3,5,5,3,1,4,2,5,5,5,2
33,9,1,0,1,2,1,3,4,4,5,5,1,1,4,1,5,5,5,1
34,2,2,0,1,1,1,3,4,4,4,5,2,1,4,2,4,3,5,1
