,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
0,6,Male,0,Yes,Yes,No,Normal,Usually,Usually,Occasionally,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree
1,2,Female,0,Yes,No,No,Normal,Usually,Usually,Never,Agree,Neither agree nor disagree,Occasionally,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree
2,5,Male,0,No,No,No,Overweight,Always,Occasionally,Usually,Disagree,Disagree,Occasionally,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
3,4,Female,0,Yes,No,No,Overweight,Occasionally,Usually,Occasionally,Strongly agree,Agree,Once,Disagree,Disagree,Strongly agree,Agree,Agree,Agree
4,3,Female,0,Yes,No,No,Very overweight,Usually,Occasionally,Always,Disagree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
5,13,Female,siamese,Yes,Yes,No,Overweight,Usually,Occasionally,Occasionally,Strongly agree,Neither agree nor disagree,Never,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree
6,3,Male,Ragdoll,Yes,No,Yes,Normal,Usually,Usually,Occasionally,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Strongly disagree
7,8,Male,0,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Disagree,Never,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree
8,10,Male,Ragdoll,No,Yes,No,Normal,Usually,Usually,Always,Strongly agree,Disagree,Never,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
9,1,Female,0,No,Yes,Yes,Normal,Always,Usually,Occasionally,Agree,Disagree,Never,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree
10,3,Male,0,Yes,No,No,Normal,Occasionally,Usually,Usually,Disagree,Agree,Occasionally,Disagree,Agree,Strongly agree,Agree,Agree,Agree
11,7,Female,0,No,No,Yes,Normal,Occasionally,Occasionally,Occasionally,Strongly agree,Disagree,Never,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
12,2,Male,0,No,No,No,Normal,Usually,Always,Occasionally,0,0,Never,0,0,0,0,0,0
13,3,Female,0,Yes,No,No,Overweight,Usually,Occasionally,Once,Disagree,Disagree,Never,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree
14,13,Female,0,Yes,No,No,Normal,Always,Always,Occasionally,Disagree,Strongly disagree,Once,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree
15,10,Male,0,Yes,Yes,Yes,Underweight,Always,Once,Always,Disagree,Disagree,Always,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
16,1,Male,0,Yes,No,No,Normal,Always,Always,Always,Agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
17,8,Female,0,Yes,Yes,Yes,Normal,Usually,Usually,Occasionally,Disagree,Agree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
18,5,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
19,19,Male,0,No,Yes,No,Normal,Always,Usually,Always,Strongly agree,Strongly disagree,Never,Agree,Disagree,Strongly agree,Agree,Agree,Disagree
20,1,Male,0,No,No,No,Normal,Always,Always,Always,Agree,Strongly disagree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree
21,17,Male,Maine Coon,No,Yes,Yes,Normal,Usually,Occasionally,Usually,Agree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree
22,14,Female,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Strongly agree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree
23,7,Female,0,No,No,No,Very overweight,Always,Occasionally,Usually,Strongly agree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
24,9,Male,0,No,No,No,Normal,Occasionally,Occasionally,Never,Disagree,Disagree,Never,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree
25,1,Male,0,No,No,No,Normal,Usually,Always,Always,Strongly agree,Strongly agree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
26,18,Male,0,No,Yes,Yes,Underweight,Usually,Occasionally,Never,Agree,Disagree,Occasionally,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree
27,16,Male,0,No,Yes,No,Underweight,Occasionally,Occasionally,Never,Disagree,Strongly disagree,Never,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
28,9,Male,0,Yes,No,No,Normal,Always,Usually,Usually,Strongly agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree
29,3,Male,0,Yes,Yes,No,Normal,Always,Always,Always,Agree,Strongly disagree,Occasionally,Agree,Disagree,Agree,Agree,Agree,Strongly disagree
30,4,Female,0,Yes,No,No,Normal,Usually,Occasionally,Usually,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
31,4,Female,Maine coon cat,No,No,No,Normal,Always,Always,Occasionally,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
32,9,Female,0,Yes,Yes,No,Overweight,Usually,Occasionally,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
33,9,Male,0,No,Yes,No,Normal,Usually,Usually,Always,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
34,2,Female,0,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Disagree,Never,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree
35,15,Male,Ragdoll,No,Yes,No,Normal,Usually,Usually,Once,Neither agree nor disagree,Agree,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
36,6,Female,0,No,No,No,Normal,Always,Always,Never,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
37,3,Male,0,No,No,No,Overweight,Occasionally,Occasionally,Occasionally,Agree,Neither agree nor disagree,Occasionally,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
38,16,Female,Seal Point Siamese,No,Yes,Yes,Underweight,Occasionally,Occasionally,Always,Strongly agree,Strongly disagree,Occasionally,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree
39,2,Female,0,No,No,No,Normal,Usually,Usually,Occasionally,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
40,9,Male,0,No,No,No,Overweight,Occasionally,Always,Occasionally,Strongly agree,Agree,Never,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
41,7,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Strongly agree,Neither agree nor disagree,Never,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree
