id,cat_age,cat_gender,breed,needs_outdoor,medical_conditions,behavioural_problems,cat_weight,likes_to_explore,playful,vocal,picked_up,timid,aggressive,adapts_quickly,prefers_alone,likes_stroke,tolerant_handled,friendly,fearful,adopter_gender,adopter_age,other_cats,outdoor_access,worries,easily_nervous,remains_calm,talkative,outgoing,reserved,new_ideas,values_artistic,active_imagination,rude,forgiving,considerate,thorough job,lazy,efficient,satisf_level
0,6,1,0,2,2,1,3,4,4,3,2,3,1,3,2,4,3,4,5,2,2,2,2,5,4,4,4,4,4,2,5,3,1,4,5,4,4,4,1
1,2,2,0,2,1,1,3,4,4,1,4,3,3,2,3,4,3,5,2,2,2,0,2,5,5,5,4,3,5,4,3,4,3,5,5,5,1,5,1
2,5,1,0,1,1,1,4,5,3,4,2,2,3,4,3,3,2,3,3,2,1,0,1,5,0,0,4,0,2,3,0,4,0,4,0,5,0,0,0.85
3,4,2,0,2,1,1,4,3,4,3,5,4,2,2,2,5,4,4,4,2,1,1,2,5,5,2,4,3,4,4,5,5,4,5,4,3,4,3,1
4,3,2,0,2,1,1,5,4,3,5,2,3,1,4,3,4,3,4,3,2,2,3,2,4,4,4,2,3,4,3,3,3,3,4,4,4,4,4,1
5,13,2,siamese,2,2,1,4,4,3,3,5,3,1,2,3,5,5,3,1,2,4,2,2,4,2,3,3,2,3,4,5,4,2,2,3,4,4,4,1
6,3,1,Ragdoll,2,1,2,3,4,4,3,4,2,1,3,2,4,5,4,1,2,2,1,2,3,2,4,4,3,4,5,4,5,2,4,4,5,4,3,0.9
7,8,1,0,1,1,1,3,4,4,4,5,2,1,4,1,4,4,5,2,2,3,0,1,3,3,3,3,2,3,4,2,2,2,3,4,5,2,5,1
8,10,1,Ragdoll,1,2,1,3,4,4,5,5,2,1,4,4,5,5,5,3,2,2,0,1,4,3,4,4,4,3,5,4,4,2,5,5,4,3,5,1
9,1,2,0,1,2,2,3,5,4,3,4,2,1,5,2,5,4,4,1,2,1,7,1,2,3,4,3,2,3,4,4,4,2,4,4,3,5,3,0.95
10,3,1,0,2,1,1,3,3,4,4,2,4,3,2,4,5,4,4,4,2,5,0,2,5,4,2,3,2,5,5,5,5,4,5,5,4,4,3,0.95
11,7,2,0,1,1,2,3,3,3,3,5,2,1,2,3,5,5,4,3,2,1,1,1,4,4,2,5,3,3,2,3,2,4,2,3,2,5,1,0.95
12,2,1,0,1,1,1,3,4,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,2,0,2,1,1,4,4,3,2,2,2,1,4,2,3,4,4,2,2,2,1,2,5,4,2,5,5,1,4,3,5,1,2,5,5,1,5,0.95
14,13,2,0,2,1,1,3,5,5,3,2,1,2,5,1,5,2,5,1,2,5,2,2,4,4,2,2,2,5,3,5,4,1,5,5,5,2,5,1
15,10,1,0,2,2,2,2,5,2,5,2,2,5,3,4,5,5,4,3,2,2,0,2,2,3,3,5,4,2,4,5,4,2,5,5,5,1,5,0.8
16,1,1,0,2,1,1,3,5,5,5,4,1,1,5,1,5,5,5,2,2,3,1,2,4,4,2,2,3,4,4,5,5,2,5,5,5,3,3,0.9
17,8,2,0,2,2,2,3,4,4,3,2,4,1,3,1,5,4,4,3,2,5,0,2,5,5,3,3,1,5,5,5,5,1,2,3,4,2,2,1
18,5,2,0,2,1,1,3,5,4,3,5,3,1,4,2,5,5,5,1,2,1,1,2,5,4,4,2,2,4,3,4,5,2,4,4,4,3,4,1
