id,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
3020,9,Female,0,Yes,No,No,Normal,Occasionally,Occasionally,Always,Agree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree
600,1,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Disagree,Agree,Usually,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree
1012,8,Male,0,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Always,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
1156,3,Female,0,Yes,No,No,Underweight,Always,Always,Occasionally,Neither agree nor disagree,Disagree,Never,Agree,Strongly disagree,Agree,Agree,Agree,Disagree
517,6,Female,Bengal ,Yes,No,No,Normal,Usually,Occasionally,Always,Agree,Strongly disagree,Never,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree
1456,10,Male,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Disagree,Disagree,Occasionally,Agree,Disagree,Agree,Agree,Agree,Disagree
1452,9,Female,0,Yes,No,No,Overweight,Always,Usually,Always,Disagree,Agree,Never,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree
1922,4,Female,0,No,No,No,Normal,Always,Always,Always,Disagree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree
89,13,Female,0,Yes,No,Yes,Underweight,Occasionally,Occasionally,Usually,Neither agree nor disagree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
1438,3,Male,Norwegian forest cat,No,No,No,Underweight,Always,Always,Usually,Strongly agree,Disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
