index,cat_age,cat_gender,breed,needs_outdoor,medical_conditions,behavioural_problems,cat_weight,likes_to_explore,playful,vocal,picked_up,timid,aggressive,adapts_quickly,prefers_alone,likes_stroke,tolerant_handled,friendly,fearful,adopter_gender,adopter_age,other_cats,outdoor_access,worries,easily_nervous,remains_calm,talkative,outgoing,reserved,new_ideas,values_artistic,active_imagination,rude,forgiving,considerate,thorough job,lazy,efficient,satisf_level
0,6,1,0,2,2,1,3,4,4,3,2,3,1,3,2,4,3,4,5,2,2,2.0,2,5,4,4,4,4,4,2,5,3,1,4,5,4,4,4,1.0
1,2,2,0,2,1,1,3,4,4,1,4,3,3,2,3,4,3,5,2,2,2,0.0,2,5,5,5,4,3,5,4,3,4,3,5,5,5,1,5,1.0
2,5,1,0,1,1,1,4,5,3,4,2,2,3,4,3,3,2,3,3,2,1,0.0,1,5,0,0,4,0,2,3,0,4,0,4,0,5,0,0,0.85
3,4,2,0,2,1,1,4,3,4,3,5,4,2,2,2,5,4,4,4,2,1,1.0,2,5,5,2,4,3,4,4,5,5,4,5,4,3,4,3,1.0
4,3,2,0,2,1,1,5,4,3,5,2,3,1,4,3,4,3,4,3,2,2,3.0,2,4,4,4,2,3,4,3,3,3,3,4,4,4,4,4,1.0
5,13,2,siamese,2,2,1,4,4,3,3,5,3,1,2,3,5,5,3,1,2,4,2.0,2,4,2,3,3,2,3,4,5,4,2,2,3,4,4,4,1.0
6,3,1,Ragdoll,2,1,2,3,4,4,3,4,2,1,3,2,4,5,4,1,2,2,1.0,2,3,2,4,4,3,4,5,4,5,2,4,4,5,4,3,0.9
7,8,1,0,1,1,1,3,4,4,4,5,2,1,4,1,4,4,5,2,2,3,0.0,1,3,3,3,3,2,3,4,2,2,2,3,4,5,2,5,1.0
8,10,1,Ragdoll,1,2,1,3,4,4,5,5,2,1,4,4,5,5,5,3,2,2,0.0,1,4,3,4,4,4,3,5,4,4,2,5,5,4,3,5,1.0
9,1,2,0,1,2,2,3,5,4,3,4,2,1,5,2,5,4,4,1,2,1,7.0,1,2,3,4,3,2,3,4,4,4,2,4,4,3,5,3,0.95
10,3,1,0,2,1,1,3,3,4,4,2,4,3,2,4,5,4,4,4,2,5,0.0,2,5,4,2,3,2,5,5,5,5,4,5,5,4,4,3,0.95
11,7,2,0,1,1,2,3,3,3,3,5,2,1,2,3,5,5,4,3,2,1,1.0,1,4,4,2,5,3,3,2,3,2,4,2,3,2,5,1,0.95
13,3,2,0,2,1,1,4,4,3,2,2,2,1,4,2,3,4,4,2,2,2,1.0,2,5,4,2,5,5,1,4,3,5,1,2,5,5,1,5,0.95
14,13,2,0,2,1,1,3,5,5,3,2,1,2,5,1,5,2,5,1,2,5,2.0,2,4,4,2,2,2,5,3,5,4,1,5,5,5,2,5,1.0
15,10,1,0,2,2,2,2,5,2,5,2,2,5,3,4,5,5,4,3,2,2,0.0,2,2,3,3,5,4,2,4,5,4,2,5,5,5,1,5,0.8
16,1,1,0,2,1,1,3,5,5,5,4,1,1,5,1,5,5,5,2,2,3,1.0,2,4,4,2,2,3,4,4,5,5,2,5,5,5,3,3,0.9
17,8,2,0,2,2,2,3,4,4,3,2,4,1,3,1,5,4,4,3,2,5,0.0,2,5,5,3,3,1,5,5,5,5,1,2,3,4,2,2,1.0
18,5,2,0,2,1,1,3,5,4,3,5,3,1,4,2,5,5,5,1,2,1,1.0,2,5,4,4,2,2,4,3,4,5,2,4,4,4,3,4,1.0
19,19,1,0,1,2,1,3,5,4,5,5,1,1,4,2,5,4,4,2,2,3,8.0,1,5,4,4,3,2,4,5,5,5,1,5,5,5,4,4,1.0
20,1,1,0,1,1,1,3,5,5,5,4,1,1,4,2,4,5,5,1,2,2,2.0,1,5,0,0,2,0,5,3,0,2,0,5,0,5,0,0,1.0
21,17,1,Maine Coon,1,2,2,3,4,3,4,4,2,1,3,3,5,3,4,2,2,5,0.0,1,4,3,4,3,3,4,3,4,3,1,5,4,5,1,5,1.0
22,14,2,0,2,1,1,4,5,4,3,5,2,1,3,1,5,5,5,4,2,1,0.0,2,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,1.0
23,7,2,0,1,1,1,5,5,3,4,5,4,1,3,2,5,5,5,3,2,2,2.0,1,4,5,4,2,1,5,4,5,5,3,4,4,5,3,5,1.0
24,9,1,0,1,1,1,3,3,3,1,2,2,1,4,2,5,2,5,3,2,2,1.0,1,1,1,4,5,5,1,5,3,4,2,4,4,4,1,5,0.8
25,1,1,0,1,1,1,3,4,5,5,5,5,1,4,2,5,5,5,2,0,1,0.0,1,4,5,4,4,2,4,5,5,5,5,4,2,4,4,2,1.0
26,18,1,0,1,2,2,2,4,3,1,4,2,3,2,2,4,2,2,3,2,3,12.0,1,4,1,4,2,2,5,4,3,3,4,3,4,5,2,4,0.9
27,16,1,0,1,2,1,2,3,3,1,2,1,1,2,1,5,4,5,1,2,3,1.0,1,2,2,2,4,5,5,3,4,2,2,4,5,3,1,3,0.8
28,9,1,0,2,1,1,3,5,4,4,5,2,1,4,1,5,4,5,2,2,4,12.0,2,3,2,5,4,4,4,4,4,5,3,4,5,5,3,4,1.0
29,3,1,0,2,2,1,3,5,5,5,4,1,3,4,2,4,4,4,1,2,2,0.0,2,1,3,4,5,5,1,4,5,4,1,5,5,5,2,5,0.95
30,4,2,0,2,1,1,3,4,3,4,4,3,1,3,3,4,4,4,3,1,5,3.0,2,3,3,5,4,4,3,3,4,4,4,5,5,3,4,2,0.9
31,4,2,Maine coon cat,1,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1,2,4,0.0,1,4,3,4,4,4,3,3,3,3,1,4,5,4,2,5,1.0
32,9,2,0,2,2,1,4,4,3,5,5,3,1,4,2,5,5,5,2,2,3,0.0,2,4,3,3,2,4,3,5,5,5,2,4,4,4,4,3,1.0
33,9,1,0,1,2,1,3,4,4,5,5,1,1,4,1,5,5,5,1,2,4,5.0,1,5,3,5,5,2,4,5,5,5,2,5,5,5,1,4,1.0
34,2,2,0,1,1,1,3,4,4,4,5,2,1,4,2,4,3,5,1,2,2,1.0,1,4,4,2,5,5,1,4,5,1,4,5,5,4,4,3,1.0
